epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,369.682,0.65117,0.45441,0.9678,0.9788,0.95473,0.98674,0.84569,0.52331,0.36045,0.8647,0.00048586,0.00048586,0.00048586
102,372.967,0.64541,0.45425,0.96765,0.98353,0.94268,0.98619,0.85745,0.5034,0.3466,0.86271,0.000476429,0.000476429,0.000476429
103,376.273,0.63195,0.43278,0.95356,0.9612,0.96951,0.98565,0.85766,0.49346,0.33116,0.85999,0.000466997,0.000466997,0.000466997
104,379.596,0.64625,0.44612,0.96578,0.98081,0.96575,0.98762,0.86972,0.47986,0.32114,0.8531,0.000457566,0.000457566,0.000457566
105,382.756,0.64946,0.44307,0.95276,0.98329,0.96448,0.98834,0.86909,0.49053,0.32345,0.8532,0.000448134,0.000448134,0.000448134
106,385.951,0.63286,0.44408,0.96812,0.98109,0.97163,0.99021,0.87619,0.46402,0.31057,0.84452,0.000438703,0.000438703,0.000438703
107,389.19,0.62477,0.43533,0.94532,0.98386,0.97534,0.98928,0.87444,0.45625,0.3041,0.83993,0.000429272,0.000429272,0.000429272
108,392.344,0.63524,0.44282,0.96079,0.97946,0.96977,0.99001,0.87859,0.44636,0.30167,0.83763,0.00041984,0.00041984,0.00041984
109,395.51,0.63664,0.43769,0.95418,0.98197,0.96908,0.99058,0.87575,0.44658,0.30486,0.83914,0.000410409,0.000410409,0.000410409
110,398.682,0.62208,0.45077,0.96942,0.97925,0.97765,0.99146,0.88038,0.45699,0.30885,0.84469,0.000400977,0.000400977,0.000400977
111,401.907,0.62971,0.43652,0.96086,0.97754,0.98017,0.99152,0.8787,0.46027,0.30909,0.84502,0.000391546,0.000391546,0.000391546
112,405.198,0.6105,0.42473,0.95338,0.98388,0.97703,0.98905,0.87364,0.46077,0.30988,0.84198,0.000382115,0.000382115,0.000382115
113,408.493,0.60813,0.43292,0.95586,0.97805,0.98319,0.99116,0.86763,0.46327,0.31009,0.84072,0.000372683,0.000372683,0.000372683
114,411.841,0.60498,0.4266,0.94964,0.96814,0.97081,0.98995,0.87399,0.44907,0.30655,0.83734,0.000363252,0.000363252,0.000363252
115,415.071,0.60478,0.42462,0.94727,0.97708,0.9734,0.99081,0.88025,0.43999,0.30563,0.83454,0.00035382,0.00035382,0.00035382
116,418.232,0.57265,0.40576,0.948,0.96664,0.9843,0.9908,0.88899,0.42783,0.29943,0.83057,0.000344389,0.000344389,0.000344389
117,421.35,0.60241,0.43263,0.95012,0.98812,0.97325,0.99136,0.89331,0.42637,0.29801,0.82921,0.000334958,0.000334958,0.000334958
118,424.601,0.59134,0.4204,0.95767,0.9808,0.97276,0.9912,0.88803,0.4383,0.29631,0.83197,0.000325526,0.000325526,0.000325526
119,427.764,0.58511,0.41678,0.93271,0.99125,0.97437,0.98929,0.88789,0.43445,0.29954,0.8314,0.000316095,0.000316095,0.000316095
120,430.974,0.59992,0.41596,0.9416,0.99161,0.97195,0.98912,0.88719,0.43538,0.29731,0.83179,0.000306663,0.000306663,0.000306663
121,434.164,0.56814,0.40272,0.93525,0.98093,0.97735,0.98823,0.88227,0.44546,0.29962,0.83317,0.000297232,0.000297232,0.000297232
122,437.487,0.57583,0.40248,0.9367,0.97703,0.98794,0.98931,0.88986,0.42726,0.29239,0.82987,0.000287801,0.000287801,0.000287801
123,440.894,0.57297,0.40986,0.9461,0.98429,0.98352,0.98934,0.88703,0.43141,0.29259,0.8297,0.000278369,0.000278369,0.000278369
124,444.034,0.56239,0.3977,0.93001,0.98509,0.96722,0.99109,0.87828,0.44015,0.29252,0.82878,0.000268938,0.000268938,0.000268938
125,447.274,0.55934,0.39361,0.92716,0.98373,0.98222,0.99135,0.88643,0.41875,0.28354,0.82395,0.000259506,0.000259506,0.000259506
126,450.399,0.56096,0.387,0.92257,0.98019,0.98114,0.99138,0.88729,0.41671,0.28035,0.82186,0.000250075,0.000250075,0.000250075
127,453.559,0.5541,0.38637,0.91953,0.98621,0.9795,0.99154,0.89246,0.41117,0.27724,0.8202,0.000240644,0.000240644,0.000240644
128,456.716,0.54392,0.38699,0.9362,0.97897,0.98565,0.99144,0.90047,0.40439,0.27462,0.8195,0.000231212,0.000231212,0.000231212
129,459.874,0.55899,0.38866,0.93158,0.9745,0.98604,0.99107,0.89973,0.40501,0.27452,0.82041,0.000221781,0.000221781,0.000221781
130,463.183,0.55433,0.38838,0.93338,0.98693,0.97098,0.99062,0.9027,0.40057,0.27673,0.81904,0.000212349,0.000212349,0.000212349
131,466.395,0.56137,0.39152,0.93369,0.98848,0.97321,0.99051,0.90105,0.39295,0.27813,0.81761,0.000202918,0.000202918,0.000202918
132,469.5,0.54018,0.38759,0.92781,0.98077,0.96891,0.99004,0.8994,0.40016,0.28007,0.81843,0.000193487,0.000193487,0.000193487
133,472.926,0.55659,0.3903,0.92977,0.97104,0.98469,0.98976,0.89701,0.40235,0.27878,0.8185,0.000184055,0.000184055,0.000184055
134,476.178,0.53422,0.37152,0.9196,0.97268,0.98346,0.99033,0.90137,0.39457,0.27703,0.81677,0.000174624,0.000174624,0.000174624
135,479.463,0.52497,0.37414,0.91994,0.98214,0.97499,0.99129,0.90473,0.38743,0.26903,0.81504,0.000165192,0.000165192,0.000165192
136,482.745,0.52179,0.37263,0.91361,0.98834,0.98483,0.99192,0.90611,0.38722,0.26691,0.81451,0.000155761,0.000155761,0.000155761
